AGENCY_ID,PRIMARY_AGENCY_ID,AGENCY_APPOINTMENT_YEAR,ACTIVE_PRODUCERS,VENDOR_IND,VENDOR
1216,1216,2013,54,Y,E
1224,99999,1973,4,N,UNKNOWN
1240,1240,2013,4,Y,C
1246,99999,2005,13,N,UNKNOWN
1247,99999,2008,10,N,UNKNOWN
1252,99999,99999,99999,N,UNKNOWN
1262,1262,1997,16,N,UNKNOWN
1273,99999,1982,10,N,UNKNOWN
1286,99999,1982,12,N,UNKNOWN
1287,99999,99999,99999,N,UNKNOWN
1292,99999,1954,2,N,UNKNOWN
1296,9502,1960,20,Y,H
1297,1297,2005,29,Y,A
1299,99999,1987,9,N,UNKNOWN
1301,99999,99999,99999,N,UNKNOWN
1303,1303,2014,12,Y,A
1315,1315,1990,83,Y,E
1342,99999,2002,18,N,UNKNOWN
1347,99999,1980,15,N,UNKNOWN
1348,99999,2004,8,N,UNKNOWN
1355,5436,2014,7,Y,B
1360,1360,2010,26,N,UNKNOWN
1378,1378,1999,43,Y,A
1395,1395,2003,19,Y,D
1400,99999,2002,17,N,UNKNOWN
1407,99999,2007,50,N,UNKNOWN
1409,99999,1989,7,N,UNKNOWN
1411,2056,2008,13,Y,A
1414,1414,1992,91,Y,E
1447,8365,2008,15,Y,E
1448,1448,1962,13,N,UNKNOWN
1456,1456,1976,7,N,UNKNOWN
1469,99999,1991,8,N,UNKNOWN
1478,1603,1971,2,Y,B
1485,99999,2008,12,N,UNKNOWN
1486,1486,1953,16,N,UNKNOWN
1489,1489,2005,18,N,UNKNOWN
1490,8843,2004,8,Y,E
1500,9550,2008,26,N,UNKNOWN
1502,99999,2003,6,N,UNKNOWN
1504,5918,2000,13,N,UNKNOWN
1506,99999,2000,27,N,UNKNOWN
1512,1512,1995,15,Y,C
1513,99999,99999,99999,N,UNKNOWN
1525,1525,1970,16,Y,A
1533,99999,2010,5,N,UNKNOWN
1536,1536,1985,22,N,UNKNOWN
1541,99999,2000,2,N,UNKNOWN
1542,99999,2005,16,N,UNKNOWN
1544,8193,2007,2,Y,A
1545,99999,99999,99999,N,UNKNOWN
1566,156,2006,16,Y,A
1569,9285,1971,16,Y,E
1580,1580,2008,22,Y,A
1582,148,1996,25,Y,C
1588,1588,1982,12,Y,C
1592,99999,99999,99999,N,UNKNOWN
1603,1603,1983,6,Y,B
1604,1604,1970,9,N,UNKNOWN
1606,99999,1941,22,N,UNKNOWN
1607,99999,1981,10,N,UNKNOWN
1609,99999,2006,31,N,UNKNOWN
1613,1613,1994,13,Y,A
1617,99999,2011,9,N,UNKNOWN
1620,99999,2008,36,N,UNKNOWN
1625,99999,2002,4,N,UNKNOWN
1631,99999,99999,99999,N,UNKNOWN
1640,99999,2005,10,N,UNKNOWN
1644,1644,1978,8,N,UNKNOWN
1653,1653,99999,99999,N,UNKNOWN
1660,1660,1954,20,Y,D
1662,1662,1966,14,Y,C
1668,1668,2000,18,Y,G
1673,3467,1971,13,Y,C
1676,99999,1997,26,N,UNKNOWN
1678,1678,2010,10,Y,D
1684,204,2003,3,N,UNKNOWN
1687,6084,2014,10,Y,E
1692,99999,1980,2,N,UNKNOWN
1700,1700,2006,38,Y,A
1703,99999,1976,2,N,UNKNOWN
1712,99999,2004,8,N,UNKNOWN
1717,1717,1956,16,Y,D
1722,1722,1990,29,Y,E
1724,8491,1981,17,Y,C
1728,99999,1988,43,N,UNKNOWN
1729,99999,1972,7,N,UNKNOWN
1732,99999,99999,99999,N,UNKNOWN
1744,6359,1994,80,Y,A
1745,99999,2006,13,N,UNKNOWN
1760,8254,2012,20,Y,A
1761,1761,1969,7,N,UNKNOWN
1763,1763,99999,99999,N,UNKNOWN
1771,1771,1972,22,Y,E
1779,940,1977,18,Y,B
1786,1786,1963,46,Y,A
1794,1794,1995,21,Y,E
1797,99999,99999,99999,N,UNKNOWN
1806,99999,1968,8,N,UNKNOWN
1815,2938,1978,13,Y,C
1821,1821,2011,12,Y,G
1826,99999,2004,34,N,UNKNOWN
1829,1829,1984,5,N,UNKNOWN
1832,99999,1988,43,N,UNKNOWN
1836,4198,2005,15,Y,A
1839,1839,1955,7,Y,B
1845,1845,1966,5,N,UNKNOWN
1847,99999,1963,26,Y,D
1850,1850,1972,29,Y,E
1865,6510,2008,24,Y,E
1876,1876,1998,10,N,UNKNOWN
1882,1882,2010,20,Y,G
1886,99999,1978,8,N,UNKNOWN
1891,99999,99999,99999,N,UNKNOWN
1898,7113,2014,13,N,UNKNOWN
1901,3487,1988,66,Y,E
1906,1906,99999,99999,N,UNKNOWN
1917,1917,2012,7,Y,E
1919,99999,99999,99999,N,UNKNOWN
1926,1926,99999,99999,N,UNKNOWN
1938,2395,1989,73,Y,E
1939,1939,2001,12,Y,E
1951,1951,1973,35,Y,E
1952,1952,1981,17,N,UNKNOWN
1953,1953,2001,19,Y,B
1955,1955,1971,4,Y,C
1958,99999,2004,16,N,UNKNOWN
1968,1968,2004,15,Y,E
1981,1981,1993,50,Y,E
1992,1162,1949,8,Y,C
1996,1996,2012,9,Y,A
2006,2006,1997,14,Y,C
2010,99999,99999,99999,N,UNKNOWN
2017,2017,99999,99999,N,UNKNOWN
2021,99999,1994,17,N,UNKNOWN
2022,5662,1994,21,Y,E
2025,2025,1978,46,Y,E
2030,99999,99999,99999,N,UNKNOWN
2041,2041,2012,30,N,UNKNOWN
2045,9687,2013,11,Y,E
2049,2049,1966,26,Y,B
2053,99999,1959,8,N,UNKNOWN
2056,2056,1980,69,Y,A
2085,99999,1997,7,N,UNKNOWN
2089,99999,2004,10,N,UNKNOWN
2090,2090,2007,10,Y,H
2093,2093,2012,15,Y,A
2105,2105,1991,22,Y,J
2109,2109,1955,4,N,UNKNOWN
2114,2114,2009,16,Y,A
2128,99999,1989,18,N,UNKNOWN
2130,99999,2013,3,Y,A
2131,470,2005,8,Y,E
2137,99999,1989,4,N,UNKNOWN
2144,2144,2009,27,Y,E
2147,2147,1985,23,N,UNKNOWN
2150,3601,2006,7,Y,E
2189,2189,1987,13,Y,A
2196,3467,2012,5,Y,C
2213,99999,2011,8,N,UNKNOWN
2214,7332,2007,5,Y,D
2217,2217,1981,7,N,UNKNOWN
2219,99999,99999,99999,N,UNKNOWN
2228,99999,1999,15,N,UNKNOWN
2229,99999,2002,8,N,UNKNOWN
2232,2232,1969,25,N,UNKNOWN
2237,2237,1965,5,N,UNKNOWN
2242,99999,1991,10,N,UNKNOWN
2244,2244,1999,2,N,UNKNOWN
2252,2252,2006,31,N,UNKNOWN
2256,99999,1975,8,N,UNKNOWN
2257,2257,2001,18,Y,C
2260,2056,2008,10,Y,A
2265,2265,1967,49,Y,E
2268,2268,2007,10,Y,B
2276,99999,99999,99999,N,UNKNOWN
2279,7391,2005,25,Y,B
2285,99999,1978,1,N,UNKNOWN
2288,2288,2012,3,Y,E
2290,9528,1982,7,N,UNKNOWN
2305,2305,2009,28,N,UNKNOWN
2306,99999,2000,2,N,UNKNOWN
2313,99999,1988,18,N,UNKNOWN
2324,2324,1959,6,N,UNKNOWN
2332,99999,1997,44,N,UNKNOWN
2333,99999,2008,18,N,UNKNOWN
2343,2343,2004,9,N,UNKNOWN
2352,99999,99999,99999,N,UNKNOWN
2358,2358,2001,13,Y,G
2361,2361,2009,10,Y,E
2363,99999,1991,24,N,UNKNOWN
2364,2364,1970,26,Y,C
2366,99999,99999,99999,N,UNKNOWN
2379,2379,99999,99999,N,UNKNOWN
2386,8652,2006,15,Y,E
2393,2393,1952,12,N,UNKNOWN
2395,2395,1953,21,Y,E
2398,1315,2011,31,Y,E
2405,99999,2003,11,N,UNKNOWN
2406,99999,2001,10,N,UNKNOWN
2414,99999,99999,99999,N,UNKNOWN
2418,99999,1983,33,N,UNKNOWN
2419,99999,1949,6,N,UNKNOWN
2429,2429,1959,10,Y,C
2432,8207,1996,58,Y,A
2444,99999,2005,14,N,UNKNOWN
2446,2446,1964,8,N,UNKNOWN
2463,6934,1992,28,Y,A
2477,99999,99999,99999,N,UNKNOWN
2479,2479,99999,99999,N,UNKNOWN
2485,2485,1958,15,Y,H
2486,2486,1989,40,Y,E
2517,805,2007,10,Y,A
2519,2519,1998,35,Y,E
2523,9252,1963,10,Y,A
2529,3385,1988,22,Y,C
2530,2530,99999,99999,N,UNKNOWN
2533,99999,1982,1,N,UNKNOWN
2539,99999,99999,99999,N,UNKNOWN
2549,99999,2000,18,N,UNKNOWN
2558,2558,1999,13,Y,C
2563,2563,2012,17,Y,A
2565,2565,1999,15,Y,C
2570,2570,1964,82,Y,A
2583,99999,99999,99999,N,UNKNOWN
2586,7113,2012,20,Y,A
2595,2595,99999,99999,N,UNKNOWN
2606,8303,2006,5,N,UNKNOWN
2613,99999,2008,28,N,UNKNOWN
2614,99999,1985,6,N,UNKNOWN
2622,2622,2012,11,Y,C
2647,99999,1983,16,N,UNKNOWN
2651,2651,2002,38,Y,E
2656,99999,99999,99999,N,UNKNOWN
2657,2358,2010,7,Y,G
2660,5946,1999,22,Y,D
2663,2663,1972,27,Y,C
2669,2669,2005,7,Y,D
2674,2570,2004,27,Y,A
2677,2677,1978,4,N,UNKNOWN
2678,2678,99999,99999,N,UNKNOWN
2688,2688,99999,99999,N,UNKNOWN
2690,99999,99999,99999,N,UNKNOWN
2711,99999,2008,61,N,UNKNOWN
2722,99999,2001,38,N,UNKNOWN
2726,99999,2003,7,N,UNKNOWN
2730,99999,2002,14,N,UNKNOWN
2741,5726,1981,12,Y,E
2745,2745,1989,68,N,UNKNOWN
2747,2747,2010,41,N,UNKNOWN
2752,2752,1982,14,Y,E
2757,2757,1993,10,N,UNKNOWN
2776,2776,1987,6,N,UNKNOWN
2783,2783,1958,10,N,UNKNOWN
2788,2788,1992,60,Y,E
2800,99999,2002,13,N,UNKNOWN
2805,2805,1990,116,Y,A
2826,99999,1963,11,N,UNKNOWN
2837,9458,1981,6,N,UNKNOWN
2842,245,1990,96,Y,A
2843,940,2013,4,Y,B
2846,9502,1991,18,Y,H
2857,2857,1983,4,Y,A
2859,2859,2004,37,Y,B
2860,2860,1997,18,N,UNKNOWN
2864,8497,1980,12,Y,E
2866,99999,1964,14,N,UNKNOWN
2868,99999,99999,99999,N,UNKNOWN
2869,99999,2003,8,N,UNKNOWN
2873,99999,1999,21,N,UNKNOWN
2898,99999,1982,2,N,UNKNOWN
2899,9550,2009,41,N,UNKNOWN
2900,2900,2008,22,Y,G
2902,2902,1988,23,Y,E
2907,7850,2015,5,N,UNKNOWN
2913,2913,1982,8,N,UNKNOWN
2914,2914,2008,73,Y,A
2919,5430,2014,9,Y,D
2938,2938,1980,25,Y,C
2945,2945,2008,15,Y,H
2946,1662,1999,10,Y,C
2970,5912,2010,10,N,UNKNOWN
2972,8254,2013,12,Y,E
2975,2975,1985,16,Y,E
2988,99999,1992,6,N,UNKNOWN
3008,99999,2008,14,N,UNKNOWN
3024,3024,99999,99999,N,UNKNOWN
3031,99999,1993,8,N,UNKNOWN
3036,3036,1998,13,Y,E
3038,3038,1981,54,Y,A
3040,2302,2015,10,Y,A
3041,99999,99999,99999,N,UNKNOWN
3048,99999,1978,16,N,UNKNOWN
3057,3057,2012,10,Y,E
3059,99999,1955,1,N,UNKNOWN
3072,3072,1958,9,N,UNKNOWN
3074,3074,1961,2,N,UNKNOWN
3075,8710,2014,12,N,UNKNOWN
3076,8303,2008,4,Y,J
3077,99999,1989,65,N,UNKNOWN
3081,99999,1968,10,N,UNKNOWN
3089,99999,1950,8,N,UNKNOWN
3091,3091,1970,6,N,UNKNOWN
3095,3095,1977,22,Y,D
3096,9550,2004,70,Y,A
3101,99999,2008,11,N,UNKNOWN
3103,99999,99999,99999,N,UNKNOWN
3104,5931,1997,10,Y,C
3112,8497,1956,11,Y,C
3143,3143,1985,25,Y,B
3145,99999,99999,99999,N,UNKNOWN
3170,3170,2001,18,N,UNKNOWN
3171,3171,99999,99999,N,UNKNOWN
3177,99999,2006,16,N,UNKNOWN
3178,99999,99999,99999,N,UNKNOWN
3182,99999,2007,26,N,UNKNOWN
3186,5176,1985,30,Y,E
3191,3191,99999,99999,N,UNKNOWN
3211,3211,1999,11,Y,E
3212,99999,2007,12,Y,E
3235,99999,99999,99999,N,UNKNOWN
3241,7113,2012,12,Y,A
3246,3385,1952,39,Y,C
3262,99999,2004,6,N,UNKNOWN
3263,3263,2014,9,N,UNKNOWN
3268,99999,2008,14,N,UNKNOWN
3275,3275,1994,59,Y,E
3278,3278,2010,31,Y,E
3282,9362,2012,39,Y,A
3303,4388,1982,20,Y,A
3305,99999,2004,13,N,UNKNOWN
3311,3311,2000,8,N,UNKNOWN
3313,5662,2014,6,N,UNKNOWN
3318,1448,1950,16,N,UNKNOWN
3325,6137,1973,18,Y,C
3326,99999,1979,13,N,UNKNOWN
3332,4676,1965,19,Y,C
3334,3334,2001,2,N,UNKNOWN
3344,8088,2007,8,Y,E
3347,3347,2000,36,Y,E
3351,9097,1968,10,N,UNKNOWN
3354,3354,1970,24,Y,C
3358,99999,1983,12,N,UNKNOWN
3359,99999,1981,14,N,UNKNOWN
3360,3360,1999,22,Y,A
3361,99999,99999,99999,N,UNKNOWN
3370,3370,1962,6,N,UNKNOWN
3371,7639,2009,28,Y,A
3373,351,1964,17,Y,E
3378,3278,1982,33,Y,E
3385,3385,1971,36,Y,E
3386,99999,1989,32,N,UNKNOWN
3395,99999,2010,9,N,UNKNOWN
3396,99999,1989,54,N,UNKNOWN
3407,5436,2006,11,Y,B
3417,3417,1971,6,Y,C
3422,99999,2004,34,N,UNKNOWN
3435,3435,2013,2,Y,G
3457,2651,2005,26,Y,E
3458,8774,1989,34,Y,A
3462,4388,1998,9,Y,A
3467,3467,2001,54,Y,C
3468,6110,2002,5,Y,E
3469,3385,2007,16,Y,A
3474,2900,2008,10,Y,G
3486,3486,1980,118,Y,E
3487,3487,2005,52,Y,E
3488,3036,2002,3,Y,E
3495,99999,99999,99999,N,UNKNOWN
3498,5918,1987,25,N,UNKNOWN
3505,6209,2012,6,Y,E
3510,6879,2007,30,Y,C
3512,99999,2003,11,N,UNKNOWN
3520,5480,2000,11,Y,A
3533,99999,2012,11,Y,A
3545,3545,1983,14,N,UNKNOWN
3556,1952,2012,8,N,UNKNOWN
3557,3557,1982,65,Y,E
3558,99999,2007,10,N,UNKNOWN
3559,99999,99999,99999,N,UNKNOWN
3560,99999,99999,99999,N,UNKNOWN
3584,3584,2012,22,Y,E
3586,99999,2003,14,N,UNKNOWN
3591,99999,1978,2,N,UNKNOWN
3593,3593,2013,16,N,UNKNOWN
3597,3597,1998,41,Y,A
3601,3601,1995,97,Y,E
3613,1378,2002,30,Y,A
3619,99999,2006,6,N,UNKNOWN
3624,99999,1973,6,N,UNKNOWN
3633,99999,1998,6,N,UNKNOWN
3636,99999,99999,99999,N,UNKNOWN
3646,3646,99999,99999,N,UNKNOWN
3647,3647,1983,14,Y,E
3655,3655,1979,23,Y,C
3662,3662,1979,12,N,UNKNOWN
3663,99999,2001,2,N,UNKNOWN
3664,3664,2000,4,Y,B
3669,3669,99999,99999,N,UNKNOWN
3670,7529,2007,13,Y,J
3671,3671,2004,79,Y,E
3674,4375,2012,26,Y,A
3676,3676,1982,13,Y,C
3680,3680,1976,12,N,UNKNOWN
3684,99999,99999,99999,N,UNKNOWN
3690,99999,99999,99999,N,UNKNOWN
3698,5662,2014,3,N,UNKNOWN
3701,99999,1972,6,N,UNKNOWN
3723,3723,2013,7,N,UNKNOWN
3724,9761,1977,10,Y,E
3726,99999,2004,24,N,UNKNOWN
3732,99999,1986,17,N,UNKNOWN
3742,3742,99999,99999,N,UNKNOWN
3748,8852,1979,25,Y,G
3749,9550,2009,16,N,UNKNOWN
3751,8135,2013,8,Y,E
3752,99999,2000,8,N,UNKNOWN
3754,99999,2008,4,N,UNKNOWN
3756,7227,2006,3,Y,D
3764,4375,1999,54,Y,A
3765,99999,1982,4,N,UNKNOWN
3772,99999,99999,99999,N,UNKNOWN
3775,3775,2004,9,Y,E
3780,99999,2005,19,N,UNKNOWN
3782,99999,99999,99999,N,UNKNOWN
3791,99999,1962,14,N,UNKNOWN
3795,99999,2005,16,N,UNKNOWN
3797,8208,2009,34,Y,A
3801,99999,99999,99999,N,UNKNOWN
3809,99999,1986,16,N,UNKNOWN
3813,99999,1976,12,N,UNKNOWN
3815,3815,1988,29,Y,B
3818,3818,99999,99999,N,UNKNOWN
3824,99999,1960,28,Y,D
3826,3036,1999,5,Y,A
3828,99999,1982,4,N,UNKNOWN
3849,99999,2009,4,N,UNKNOWN
3851,9285,1989,28,Y,E
3855,99999,2003,21,N,UNKNOWN
3862,99999,2008,30,N,UNKNOWN
3863,99999,2007,19,Y,E
3864,3864,1973,11,Y,A
3867,99999,99999,99999,N,UNKNOWN
3870,3870,1990,66,Y,A
3878,3467,2010,7,Y,C
3905,99999,2006,6,N,UNKNOWN
3921,3921,2014,11,N,UNKNOWN
3924,1717,2000,14,Y,D
3932,3143,2005,18,Y,B
3936,1489,2006,17,N,UNKNOWN
3941,2056,2008,20,Y,A
3948,3948,1970,8,N,UNKNOWN
3962,3962,1990,11,Y,E
3967,4198,2010,10,N,UNKNOWN
3976,3976,1991,10,N,UNKNOWN
3985,3985,1958,8,N,UNKNOWN
3990,3990,1960,6,N,UNKNOWN
3993,3993,99999,99999,N,UNKNOWN
3998,6812,1998,8,N,UNKNOWN
3999,99999,2007,34,N,UNKNOWN
4000,1953,2008,8,Y,B
4007,8157,2012,6,Y,E
4009,4808,1935,9,N,UNKNOWN
4010,99999,1952,6,N,UNKNOWN
4021,3334,2001,2,N,UNKNOWN
4024,4024,1980,5,N,UNKNOWN
4027,4027,1983,6,N,UNKNOWN
4028,8003,2008,20,Y,E
4029,99999,2002,17,N,UNKNOWN
4030,99999,99999,99999,N,UNKNOWN
4034,8207,2006,9,Y,A
4035,4035,2013,10,Y,B
4047,99999,99999,99999,N,UNKNOWN
4061,4061,1968,53,Y,A
4076,99999,1990,8,N,UNKNOWN
4086,4086,1951,29,Y,B
4089,562,1982,11,Y,E
4095,99999,1985,10,N,UNKNOWN
4109,5134,2008,4,Y,A
4118,2945,2008,15,Y,H
4121,99999,99999,99999,N,UNKNOWN
4122,99999,2002,74,N,UNKNOWN
4123,4123,1964,4,N,UNKNOWN
4125,99999,1984,4,N,UNKNOWN
4128,99999,1979,6,N,UNKNOWN
4134,99999,2012,5,N,UNKNOWN
4148,4148,1971,26,Y,A
4154,99999,2005,6,N,UNKNOWN
4170,4170,1955,11,Y,A
4185,99999,99999,99999,N,UNKNOWN
4194,99999,1957,20,N,UNKNOWN
4198,4198,1980,28,Y,A
4199,8710,2014,4,N,UNKNOWN
4201,4201,2010,7,Y,E
4217,99999,99999,99999,N,UNKNOWN
4226,330,1989,35,Y,E
4228,330,2012,11,Y,E
4229,4229,2001,19,Y,C
4236,99999,2002,16,N,UNKNOWN
4237,6719,2000,27,Y,E
4247,99999,2005,12,N,UNKNOWN
4250,470,2012,22,Y,E
4251,99999,1990,8,N,UNKNOWN
4260,99999,1989,42,N,UNKNOWN
4265,99999,2007,4,N,UNKNOWN
4274,330,2014,8,Y,E
4276,99999,2004,6,N,UNKNOWN
4277,9285,1991,79,Y,E
4283,99999,1970,9,N,UNKNOWN
4288,99999,2007,12,N,UNKNOWN
4291,99999,2001,13,N,UNKNOWN
4297,4297,1975,14,N,UNKNOWN
4300,1668,2006,10,Y,G
4310,4310,1983,24,Y,E
4315,6934,2000,23,Y,A
4316,4316,1958,11,N,UNKNOWN
4322,99999,99999,99999,N,UNKNOWN
4323,4323,99999,99999,N,UNKNOWN
4330,4330,99999,99999,N,UNKNOWN
4332,2393,1972,2,N,UNKNOWN
4334,5918,2008,12,N,UNKNOWN
4344,99999,2004,9,N,UNKNOWN
4349,99999,2006,4,N,UNKNOWN
4351,4351,1997,39,N,UNKNOWN
4352,99999,1964,16,Y,D
4357,4357,2014,21,N,UNKNOWN
4360,4360,2012,6,Y,E
4375,4375,1991,78,Y,A
4388,4388,2001,13,Y,A
4391,99999,1998,8,N,UNKNOWN
4401,4676,2010,18,Y,E
4414,4414,1968,14,Y,E
4424,1700,2009,28,Y,E
4430,2056,2008,9,Y,A
4438,99999,2008,49,Y,A
4447,4198,1981,13,Y,A
4448,4448,2013,15,Y,E
4450,99999,2003,5,N,UNKNOWN
4451,99999,1996,22,N,UNKNOWN
4452,99999,2002,21,N,UNKNOWN
4456,8497,2012,41,Y,E
4458,99999,99999,99999,N,UNKNOWN
4470,4470,99999,99999,N,UNKNOWN
4479,4479,1997,12,Y,F
4485,4485,2000,22,Y,B
4489,4489,1997,20,Y,A
4496,99999,2007,4,N,UNKNOWN
4510,4510,1967,7,N,UNKNOWN
4516,4516,1988,6,N,UNKNOWN
4526,99999,1956,13,N,UNKNOWN
4528,99999,99999,99999,N,UNKNOWN
